gene	number_of_transcripts
EPHX2	4
PDIA6	1
CWF19L2	1
BCMO1	1
G6PC	2
CAV2	4
DNAH5	1
CIZ1	7
IGSF21	1
GLS2	1
C9orf163	1
TNFRSF18	3
UBA6	1
A2M	1
CNRIP1	2
TRIM59	1
NAT16	1
ELAVL4	5
TENM4	1
CHSY3	1
PSPC1	1
YARS	1
SLC6A18	1
DCAF4L1	1
CASP5	4
GOLGB1	4
EPB41L3	1
SFRP1	1
TNFRSF10D	1
PSMB7	1
ZNF575	1
MFSD6L	1
SLC35D1	1
RPRD2	1
WDR70	1
OPN5	1
SUPT16H	1
WDR49	1
MCUR1	1
MTHFR	1
CWF19L1	1
GTPBP4	1
SYNGR1	3
TMEM5	1
ATP8B1	1
MSH4	1
FBXO9	3
MORN4	2
ANKRD22	1
ITGB3	1
PDDC1	1
KLK4	1
NPPB	1
CCDC58	1
CLEC4G	2
SMIM9	1
SLC22A11	1
CHD2	2
SMCO3	1
FOXO3	2
MDP1	4
FOSL2	1
SLC39A11	2
GPR63	2
IFNLR1	3
RBMS3	5
FER	1
C16orf72	1
SLC19A3	1
BVES	3
LIN7B	1
DDX19B	7
SLC38A2	1
KCTD15	3
YBX3	2
CYBRD1	3
NDST1	1
ZNF837	1
NOL10	3
DAZAP1	2
MAP3K7CL	1
TCEANC	1
DDX21	2
PIGX	2
DDX4	4
KDM6B	1
PDCL2	1
C2CD4C	1
ESX1	1
TAF7L	2
FEZ1	1
MAGEB5	1
C9orf114	1
TUBGCP3	1
ENO3	3
CCDC129	3
NYAP2	1
SDC1	2
EDEM1	1
TMEM92	2
PROC	1
ZNF502	4
ARGFX	1
C10orf95	1
CDC42EP1	1
PHACTR4	2
MTRF1L	2
SYN1	2
SLC22A13	1
CCR9	3
BTNL3	1
UGT2A1	4
CAPN11	1
NHEJ1	1
SSTR3	1
LRIT1	1
ARG2	1
C6orf58	1
APOBEC3B	5
RRM2	2
TMEM52B	1
DIAPH2	2
RUSC1	4
ABCA13	1
YWHAH	1
OSTM1	1
PPP1R17	2
CTPS2	3
GCM2	1
POU2F3	2
TOMM70A	1
OARD1	1
MAST1	1
XPR1	2
FKBP2	3
TECRL	1
PTP4A1	1
CCDC9	1
BCL2A1	2
SERPINB3	1
PLEKHS1	4
KREMEN1	2
SUB1	1
PGAP1	1
DNAJC19	2
TMEM203	1
GPR160	1
IL2RA	1
TBRG4	4
C19orf53	1
POGLUT1	1
DNAAF2	2
GAD2	2
RIC3	4
PLA2G4F	1
OGFOD1	1
TEX19	1
YTHDC2	1
REV3L	1
TRIM43	1
SLC47A1	1
KIAA1751	1
ZNF492	1
CD177	1
IST1	6
GPR62	1
WDR16	2
UNCX	1
CCDC126	1
ACAT1	1
KIAA0586	6
BBIP1	5
C11orf86	1
SCG3	2
UIMC1	3
ALOXE3	2
ME2	2
STC2	1
LIME1	1
COL6A3	5
HFE	9
GUCA1C	1
CPVL	2
BBS5	1
ABLIM2	7
CCDC172	1
PLEKHA8	3
NPW	1
CDK13	2
HIST1H2AL	1
SPINT1	3
PSMA7	1
RASIP1	1
ZBTB12	1
DNER	1
CCDC109B	1
MAPK8IP1	1
VPS11	1
CAPRIN2	4
HEY1	2
RPS6KA6	1
MAPKAPK3	3
ZAP70	2
WDR81	4
AQP3	1
LRRC57	1
LPO	2
FEV	1
NKX2-8	1
LCE2B	1
NRTN	1
CNGA3	2
FAM151A	1
LYZL4	1
GMNN	4
ACACB	1
RECQL	2
C1orf159	1
GRK6	3
ZNF701	2
PEX5L	8
COL5A3	1
ZSCAN18	4
TIMM10	1
SLCO4A1	1
PAQR6	12
NOV	1
ZNF234	2
SMARCC2	3
RBM38	2
DENND1C	1
CLEC4E	1
C21orf58	1
ACTRT2	1
HOXD9	1
HMGN4	1
WRNIP1	2
LOC729059	1
CEP76	2
IBA57	1
WFDC10B	2
SLC35A5	1
DNAJB5	3
NT5C3B	1
KLKB1	1
APOA2	1
SRP72	2
SLC15A3	1
DAPK2	1
PYROXD2	1
GPBP1L1	1
MYOZ1	1
SCYL1	2
UNC5D	1
CDKN1B	1
ANKRA2	1
GPSM1	4
PAQR8	1
RSC1A1	1
PDCD11	1
C16orf13	5
DGKE	1
CALML3	1
COG5	3
C1GALT1	1
C7orf34	1
SCRN2	2
PIK3CB	2
GSG1	7
NABP2	1
KCNK6	1
SENP5	1
ARHGEF26	3
NKD2	2
HTR3B	1
PKDREJ	1
SERPINB13	1
TBC1D29	1
POLQ	1
FEZF2	1
HNF4G	1
POLDIP2	1
CALHM2	1
CLCA2	1
DAGLA	1
TNF	1
GNPTG	1
DERL1	2
SLC6A7	1
CLRN3	1
CRNN	1
LUZP4	1
SPG21	3
UMODL1	4
SLC17A6	1
DGKI	1
NKX2-3	1
METTL15	2
MTNR1A	1
CD48	2
KATNAL1	2
SOX8	1
GATA4	1
DEAF1	1
FAS	3
LCE3D	1
SLC2A6	2
ZNF582	1
SPINK7	1
TPX2	1
MED9	1
CCNE1	1
RDH10	1
PPM1E	1
PRSS57	1
ARL4A	4
THAP2	1
SIGLEC9	2
RBP5	1
SNRNP200	1
CNBD1	1
ATP5J	5
MPDU1	1
CPNE1	6
SLC25A4	1
PABPC5	1
RHOA	1
FBRS	1
RBCK1	2
C6orf47	1
DDAH2	1
NLN	1
GPANK1	5
RHO	1
ADRA2B	1
OR10H2	1
FOXP3	2
PRLH	1
ZNF416	1
OR7A17	1
REM1	1
CREB3L3	4
NOX3	1
OPN1MW	1
HIST1H3G	1
HIST1H3F	1
HIST1H2BH	1
HIST1H4F	1
CTLA4	2
MYL10	1
CCL24	1
OR12D2	1
TRPC5OS	1
C6orf25	6
HRH2	2
GNG13	1
KCNG2	1
HBQ1	1
KRTAP1-1	1
HTR1A	1
TAL2	1
VPREB1	1
GAPDHS	1
MC3R	1
FFAR3	1
FFAR2	1
PNPLA5	2
FGF22	1
CHRM4	1
CHRNG	1
CRYGB	1
GABRA4	3
GDNF	4
XCR1	2
NPBWR1	1
NPBWR2	1
PRLHR	1
MCHR1	1
GPR31	1
MLNR	1
FFAR1	1
GPX5	2
GRM6	1
HIST1H1E	1
HTR1F	1
INSRR	1
KCNA2	1
KCNA10	1
KCNJ11	2
MC2R	1
MC5R	1
NEUROG1	1
CAPN5	1
OSM	1
PSPN	1
SSTR1	1
TECTA	1
WNT1	1
HIST3H3	1
HIST1H4I	1
HIST1H2AB	1
HIST1H3C	1
HIST1H4A	1
HIST1H4D	1
OR1G1	1
SOX14	1
KRT38	1
KRT36	1
FGF17	1
TNFSF18	1
TAAR5	1
NOG	1
GLP2R	1
CER1	1
RBPJL	1
MPST	3
RNF212	3
ERI2	2
ITGAX	1
CXorf56	3
AGXT2L2	1
AGPAT3	2
WDR4	6
TLX3	1
TLX3	1
ADRA2A	1
VAX2	1
HOXA11	1
POU5F1	3
DLX6	1
FGF19	1
UCP1	1
CD1E	13
ATP6V1G2	3
WEE1	2
DENND4C	1
DLGAP4	3
EIF4E	3
SIGLEC12	2
GDPD4	1
WFDC9	1
DNAH6	1
PLRG1	2
THEG	2
ARL8B	1
LRFN2	1
SLC4A7	3
SLC9A2	1
WDR76	2
C17orf98	1
LCE1E	1
SUPT6H	1
SCN10A	1
DHX33	2
ZNF445	1
ZNF219	3
SMARCD2	1
CYP2A6	1
KLHL26	1
RNF168	1
HES1	1
TRPC1	2
ZNF117	1
CACNB3	4
MXRA7	3
PSMC3	1
COX6A2	1
AURKA	6
HSBP1	1
EMC4	1
HTN1	1
CDY2A	1
INSL5	1
CHST4	2
PRG3	1
CLDN16	1
HRH3	1
DIO1	4
CCL7	1
PSMA4	3
LOR	1
C12orf68	1
TBX18	1
DYSF	14
HHLA2	1
CELSR1	1
SEMA3A	1
MVD	1
IKBIP	3
CTSZ	1
TOR1B	1
C17orf105	1
TRAPPC12	1
FREM3	1
QRICH2	1
PGF	2
POP1	3
IFIT5	1
SZRD1	2
KPNA7	1
PLEKHA6	1
ZNF442	1
PARN	3
ZDHHC15	3
OSR2	2
SEPSECS	1
PIGU	1
ACOXL	1
TMC3	1
SFTPD	1
CCDC147	1
SP6	2
CYSLTR2	1
PAPOLA	3
LRIG3	2
STOM	4
FREM2	1
PGGT1B	1
DDX39B	2
PHF21B	3
POLRMT	1
GLYATL2	1
GBP6	1
ABT1	1
SRSF12	1
DSCR6	1
AAGAB	3
PLSCR5	1
UGT3A1	2
ISLR2	4
PFKL	1
GUSB	1
CIB3	1
MSMB	2
USP19	4
PIK3R6	1
C14orf93	3
XRN2	1
BTG1	1
BTG1	1
RORC	2
L2HGDH	1
NPAS4	1
BIRC7	2
ARHGEF37	1
TNFRSF1B	1
C19orf48	2
ADAM22	5
NARF	4
NUBP2	1
PYGO1	1
PRSS36	3
PPIH	1
PDK2	4
SPAG8	2
PLD3	2
BPIFB2	1
MEIG1	1
SOWAHB	1
APOL6	1
C12orf23	1
SPINK8	1
SH3BP5	2
LUZP1	2
NFIX	3
RAB3IP	5
TMEM159	1
FNDC7	1
BDP1	1
BRE	6
SYT17	1
C7orf57	3
ERCC5	2
ALG6	1
DNPEP	1
FEZ2	2
OR2C1	1
WNT2B	2
CDK14	1
P2RX2	6
CLDN17	1
NSMCE4A	2
MLL	2
C3orf55	4
AQP10	1
ALG10B	1
GXYLT1	2
C1orf63	1
TMEM95	1
ZNF454	3
ACSS3	1
CLPSL2	1
SWI5	1
PPP4R4	2
PIGV	2
PRM3	1
LACE1	1
ACTL6B	1
CASD1	1
CYP19A1	2
PIP4K2B	1
DNAJC12	2
SNX12	5
FAM84A	1
C17orf100	1
IARS2	1
PRUNE2	1
PNO1	1
TRPC4	6
RDX	6
NUDC	1
ZNRF2	1
TMIGD2	2
CCDC104	1
ZNF675	1
ATG12	1
FGFR1	9
FAM118A	2
RPL32	3
ITGA3	2
PAG1	1
SLC22A8	4
TMPRSS13	4
FCRLA	7
ZNF608	1
DHRS12	3
GPRC6A	1
FRMD1	2
ABHD16B	1
MSANTD4	1
GIPC3	1
NTF4	1
POF1B	1
RNF146	8
MIS12	5
TMEM209	1
TMA16	1
TMF1	1
VAV3	2
MMRN1	1
PLCG1	2
CLEC2D	5
LRRC47	1
NR0B1	1
MN1	1
GPS1	2
RIPK3	1
CYP4F8	1
PHLDA3	1
GSTT1	1
MEF2A	5
CES3	3
SHANK2	2
TTYH1	3
POMP	1
ACSL4	2
ARIH1	1
NRAP	3
GLO1	1
C8orf46	1
FAM20A	2
MATR3	5
ATP2B2	2
UBAP1	5
SLC36A1	1
GALNT5	1
GALNT5	2
CDYL	3
SEMA3C	1
FAM122C	7
SIK2	1
TRIM58	2
ZMYM4	1
VPS8	2
E2F3	2
NAPB	1
FSTL1	1
ARMC1	1
CDK5RAP2	3
PTPRA	5
CC2D1A	1
MPHOSPH8	1
EXOC1	3
FAM19A2	1
BACH2	2
TAB2	1
GNAQ	1
REP15	1
SERTAD1	1
MTCH2	1
VWA3B	1
PTBP3	6
ELMOD3	4
POLR2A	1
KIAA0196	1
SH3GL3	1
RAB12	1
NEDD1	4
PARP6	1
TYRP1	1
ACTN4	1
PAX6	7
LAMA1	1
SUCLG1	1
COL4A3BP	3
CERS5	1
TAF5L	2
SERINC2	5
TMEM130	3
AREG	1
KIF23	2
OTUD4	2
ZNF410	5
MEST	6
C2CD5	1
TELO2	1
ATP5C1	2
DNAL1	2
BTBD11	2
RGMA	6
COL20A1	1
RABGAP1	1
MUTYH	6
GALNS	1
CCL8	1
GSR	4
UPK1B	1
ADAMTS8	1
EMC9	1
LMBRD1	1
EHBP1	4
NOB1	1
PARP3	2
PDCL	1
ATR	1
GPR161	7
MUC17	1
ZC2HC1A	1
ABHD12B	2
ELF4	2
TSPAN32	1
EN1	1
B4GALT1	1
PTPRF	2
SERINC3	2
GALR1	1
CDH9	1
C6orf15	1
KLF15	1
TRPM6	3
KLHL5	4
IGF2	7
CHRNA9	1
OR12D3	1
SLITRK4	3
TRPM5	1
DEFB121	2
IL17F	1
TMEM234	1
ZNF354C	1
KRT84	1
IL26	1
HR	2
PLA2G2E	1
IL20	1
WNT16	2
TAAR2	2
GPR83	1
TAS2R9	1
TAS2R16	1
AMBN	1
ETV7	8
LENEP	1
GCNT4	1
TBX21	1
CCL15	1
DHRS2	2
FBXO40	1
ATP6V1D	1
C1orf109	1
PITPNM2	1
MS4A12	2
LAX1	2
CYP2W1	1
CXorf48	2
HRASLS2	1
DUOX1	2
RUVBL1	1
LMBR1L	1
SEC23A	1
AGRN	1
PAN2	3
CNP	1
DEFB118	1
LRWD1	1
GPR124	1
SHANK1	1
ELOVL7	2
RBM28	2
VSX1	4
CXorf57	2
AHSP	1
IGFBP6	1
PRPF39	1
IQCC	2
ASIC1	3
NGB	1
HSPA1A	1
PRSS16	1
CASKIN2	2
PQLC3	1
NDUFA6	1
C20orf27	3
SURF6	1
DUX1	1
SKIV2L2	1
BDH1	3
FRG2C	1
CNNM1	1
RSL24D1	1
CARS	4
C18orf56	1
PRDM10	4
S100A6	1
TMEM251	2
KLK10	3
KATNB1	1
ARV1	1
SEPP1	3
ATRN	3
STK39	1
FAM81B	1
FAM118B	1
C7orf66	1
RAB41	1
TRIML2	1
ZAR1	1
PNLIPRP3	1
CD52	1
MGAT3	2
NUP93	3
MASTL	3
GTPBP1	1
MGLL	3
COX4I2	1
GFM2	3
C11orf16	1
VPS51	1
FYTTD1	2
ZZEF1	1
NDUFA10	1
HYOU1	2
NBR1	3
GZMK	1
LRRC72	1
C11orf42	1
OXCT1	1
DOK6	1
MEA1	1
C9orf78	1
MYH6	1
MED20	1
TSHZ3	1
HIST1H4J	1
OR1E1	1
MATN4	3
PKNOX2	1
SNX17	4
CD59	8
GAGE1	1
KRT86	1
CD209	7
SLC45A3	1
OTUB2	1
RPRD1B	1
PIK3R5	6
VCX3A	1
CACNG5	1
IL36B	2
IL36A	1
IL17C	1
ZCCHC4	1
PCDHB1	1
RAX	1
GAL	1
A4GNT	1
SLC45A2	2
ANGPT4	1
NAT8B	1
CABP2	1
MCM9	2
GLOD4	1
CCDC41	2
TACC1	3
PCMT1	6
EPX	1
POLD1	2
GDF2	1
NR4A3	3
MYT1	1
SFRP5	1
ZNF225	1
CILP2	1
SUCNR1	1
KIAA1279	1
METTL9	2
TNFRSF1A	1
DMBT1	3
TPR	1
INTS2	1
MRPL4	3
TUBG1	1
SUMF2	5
CHRAC1	1
TRIM63	1
LOC643355	1
VCX2	1
TRPV2	1
CHMP4A	1
PREB	1
DDX5	1
CSAD	3
MAGEH1	1
DOK4	1
COMMD9	2
GSTM2	2
ZNF222	2
FTSJ2	1
MAN1B1	1
AIPL1	3
TFB1M	1
CCP110	2
POP5	2
ZNF232	1
TIMM8B	1
TMED9	1
EPN1	3
RPS24	6
PCDH15	12
PRKAR1A	5
SNRPB2	2
LRP8	4
NPHP1	4
PPP3R1	1
PRSS33	1
FAM175B	1
YIF1B	7
CCDC102B	2
BEST3	2
KLC2	4
TMEM255B	1
PEX7	1
WDR59	1
MSH3	1
DEPDC7	2
PSTK	1
ADORA3	3
ROM1	1
PECR	1
PUM1	2
SUGT1	2
NUDT16	3
ZNF790	4
MIXL1	1
IRX2	2
SIK1	1
SMCO2	1
CACNA2D1	1
PIP5K1C	2
HMGN5	1
PGLYRP2	1
RPE	2
FABP2	1
IFNA7	1
IFNA10	1
IFNA17	1
RCAN1	3
RPS4Y1	1
POLR3G	1
CYP2C19	1
CALM1	1
PYGL	2
CFHR5	1
CYP2C9	1
NUDT7	4
MAT1A	1
MED13	1
SPCS2	1
PFKFB2	2
NR1H4	6
FOXP2	6
A1CF	6
CEP19	1
LRCOL1	1
RBM39	4
SLC17A4	1
CES2	2
SLC25A18	1
GBA	5
RBFOX2	6
ADAM30	1
SLC24A2	2
FGF21	1
TREM1	3
GABRQ	1
DEFB103A	1
PCDHB11	1
PCDHB6	1
RETN	2
C2orf83	2
PRDM9	1
DIAPH3	7
C11orf73	1
TRPV5	1
ADCK5	1
RELL1	2
KANK4	1
POU2F1	3
PRRX1	2
EIF2B5	1
FOSL1	1
ATG4B	2
EPHA8	2
EPHA8	1
BCL2L10	1
CHODL	6
MRPL47	2
UBQLN4	1
EXOSC5	1
GP1BB	1
ANG	4
FBXO24	3
PCDHB13	1
BARHL1	1
GJD2	1
RBM11	1
SFXN3	1
TMEM178B	1
SLC52A3	1
TTPAL	3
ZNF257	1
GALP	2
OPN4	2
APOA5	2
KLK14	1
GNG8	1
G6PC2	2
WIF1	1
TSPYL4	1
CCDC167	1
TSHZ1	1
PLEKHG5	8
FGF2	1
ALPP	1
HMOX2	4
B3GALT6	1
MRPS24	1
UQCR10	2
NSMCE1	1
DUS3L	2
HSD17B13	2
SLC30A10	1
PDXK	1
TBC1D15	3
BAAT	2
SIGLEC10	7
HHLA1	1
CCPG1	4
SRPK2	2
PCTP	2
MAX	7
PPP1R37	1
SH3PXD2B	1
BMP6	1
LRRTM4	2
SLC35B3	3
UGT2B4	1
PPM1D	1
DERL2	1
MED21	2
DDX55	1
PPP1R1B	3
SLC24A6	1
ARF1	4
MYO1C	3
SPA17	1
WDR55	1
TLE3	3
IL22	1
FGF23	1
ZNF304	1
TAS2R45	1
WDFY4	1
PRDM13	1
HRH4	3
C9orf69	2
ARMC10	6
ZNF556	1
C1orf43	3
SEPT4	6
CHST15	4
ADAMTS20	1
CCDC15	1
SYT12	2
C7orf69	1
C3orf36	1
SIGLEC15	1
MIA2	1
ARL14	1
RAB32	1
CRLF2	2
TRIM46	4
SC5D	2
SLC5A7	1
FAM209B	1
KCNK16	4
PCDHB8	1
HIGD1B	2
C1orf162	1
SLC39A8	4
THOC7	1
SETD5	1
TROVE2	5
C6orf7	1
MRPL50	1
STXBP1	2
SERINC5	3
TLDC1	1
PQLC1	3
FAM76B	1
NYNRIN	1
CENPT	1
LRRC15	2
HHIPL1	2
FLJ22184	1
MOGAT2	1
OTX2	5
ZNF35	1
EFNA5	1
TMEM134	3
TTC12	1
LTN1	1
FBXW12	3
MUS81	1
FUZ	2
BIVM	2
TM2D3	2
WDR96	1
MRPL9	1
TMEM8A	1
C3orf58	2
ACSF2	1
NMRAL1	1
TARS2	3
NUBPL	3
S100A14	1
NUS1	1
GDPD3	1
LTBP3	3
GPX8	1
BCL2L12	2
REEP4	1
COTL1	1
SSX2	1
SSX2	2
FAM3A	4
DCTN2	3
CYC1	1
FOXL2	1
C8orf42	2
DHRS3	1
MPPED2	2
ANKRD16	3
ZNF276	2
GBF1	3
SLC25A3	3
RESP18	1
DDB1	1
PPEF2	1
IQGAP2	1
ISCA2	2
ATP1B1	1
TBCA	1
CHEK2	4
CAPN8	1
SOS2	1
LOC100996506	2
TAOK2	3
EIF4E2	1
ZFYVE28	6
LARP1	1
C11orf80	1
ZSWIM3	1
SLC50A1	3
DKK3	3
SLC27A5	1
ZMYND11	7
ASF1A	1
ZNF614	1
CYBB	1
CHST13	1
FCRL3	1
KLHL35	1
SEC24B	2
XRCC6	1
CCNH	2
DLG1	5
WDR85	1
ZNF37A	3
PTDSS1	1
ATP1B4	2
SHC3	1
TMEM72	1
RNF34	3
RNF19A	2
CCDC88A	3
INO80	1
TBCK	4
CHPT1	1
VNN2	3
VSIG10L	1
APCDD1	1
PAGE2B	1
ACPT	1
AP4S1	6
AMZ2	6
AKIRIN1	2
CDC42BPG	1
PRR14	1
TRIM47	1
BOK	1
ZNF436	2
C21orf91	3
NEIL2	4
TMEM71	2
MYEOV2	2
PVRL3	3
ALDH6A1	1
GMCL1	1
G6PC3	1
ZMYND12	2
EXOSC8	1
MND1	2
LMBRD2	1
CCDC127	1
PNPLA7	2
CNIH	1
AMFR	1
PVALB	1
C12orf45	1
UTP20	1
ATP6V1B2	1
PDK3	2
RNF113B	1
MFAP4	2
RAB4A	3
GJA4	1
COASY	3
P2RY10	2
BMP5	1
ZNF44	2
RFXANK	2
KRT34	1
CLDN9	1
GLT8D1	3
CAMKK2	9
QRICH1	2
MMP9	1
LHFPL1	1
SETD1A	1
KRTAP10-12	1
ENPP6	1
RIIAD1	1
AQP5	1
TTC40	1
KLC3	1
ZNF227	1
CMTM3	2
RREB1	4
METAP1D	1
ACSM2B	1
ATP5A1	5
HORMAD1	2
SLBP	1
ASPSCR1	2
RPGRIP1L	2
ACE	3
SH3BP5L	1
RTL1	1
DUSP6	2
KLF3	1
C11orf53	1
CNTN4	4
C10orf99	1
GCN1L1	1
SPEF2	2
ACOT9	2
SMARCA2	2
FBL	1
GDI2	2
KCTD19	1
NKPD1	1
DPYSL5	3
B3GNT7	1
KRBA1	1
PTGDR2	1
DEGS1	1
SLC22A18AS	1
FAM203A	1
ARX	1
PKN3	1
KNTC1	1
TARDBP	1
CRCP	4
TUBB2B	1
TPM2	2
FGB	2
RAB1B	1
SGK2	3
AHCTF1	1
CABLES2	1
SEH1L	2
KIF18A	1
ZNF93	2
GALNT9	2
ZNF629	1
TIGD4	1
FXYD3	8
DBNDD1	2
RBM3	1
UFC1	1
TERF2IP	1
ZNF71	1
ZNF688	2
CLMN	1
TRIM45	2
SPR	1
YRDC	1
AIMP2	1
KIAA1024	1
KIAA0513	1
PLXND1	1
FAM214B	1
MED8	3
SH3RF1	1
RAB34	9
DCT	2
ISG20L2	1
CCR1	1
FATE1	1
GSTM1	2
HOXD8	3
STAB1	1
CHAT	7
FANCE	1
PBOV1	1
EDA2R	3
NYX	1
GFRA4	2
NPFFR1	1
DPEP3	2
LHX5	1
PLA2G2F	1
IL25	2
MYO19	3
PTGIS	1
ZBP1	4
ELOVL3	1
HBG2	1
SLC9A9	1
SCFD2	1
ST8SIA2	1
EVA1A	2
GABRB3	4
RNF138	3
AGAP2	2
RBM43	1
BEST4	1
FZD8	1
SLC26A2	1
TRPV6	1
MRPS6	2
DBX2	1
SH3BGRL2	1
UBE2I	4
C12orf4	1
TUBB1	1
C11orf24	1
TTC8	3
APLN	1
PPP1R3C	1
SDF2L1	1
SH2D4A	3
EXOC6B	1
GABRB2	2
ST6GALNAC5	1
CCL2	1
SLC25A42	1
G3BP2	3
BCAP29	2
GCFC2	3
TKTL2	1
CYP11A1	2
CALR3	1
KCNH4	1
DSTN	2
UGCG	1
PHF20L1	3
PPP1R15B	1
LCP2	1
KRBA2	1
NDUFB4	2
GDPGP1	1
CST3	1
EDDM3A	1
PROSC	1
OPLAH	1
SLC2A10	1
SLC4A1AP	1
WNT5B	2
SMDT1	1
MAGEF1	1
MERTK	1
KCNA6	1
GPR84	1
ATP8B3	2
CYP3A43	3
ZNF326	2
NOL7	1
RNASEH2B	2
ZNF682	2
ROCK1	1
RAB3GAP1	2
SRPX2	1
TNFAIP8L3	1
METTL22	1
SH2D3C	7
IBTK	1
GLIS1	1
KANK1	4
RUFY1	3
GSDMB	4
POLD2	3
ACSM1	1
LOXL4	1
PTGDR	1
KCNA7	1
IL1F10	2
ZAN	2
NT5C1A	1
KRTAP17-1	1
KRTAP9-8	1
KRTAP9-3	1
KRTAP9-2	1
KRTAP4-6	1
KRTAP4-11	1
KRTAP4-9	1
KRTAP4-8	1
KRTAP4-4	1
KRTAP4-3	1
KRTAP3-2	1
KRTAP3-1	1
ZNF554	1
RETNLB	1
LDHAL6B	1
NXF5	1
GFOD2	2
FSCB	1
LACRT	1
OR2B2	1
DTNB	8
MME	4
PGM5	1
REST	2
STX16	5
AGPHD1	2
EXD1	1
TMEM17	1
NCAPH	1
TMEM245	1
ITPK1	3
LRIT3	1
SFSWAP	2
RPL10L	1
NUP188	1
ZNF280C	1
MTERFD1	1
ST8SIA4	2
JHDM1D	1
MUC20	2
TMEM180	1
SRSF7	2
CD200R1	4
RRP36	1
CELF2	4
CROCC	1
NIPAL2	1
RNF11	1
GRSF1	2
STK31	4
C14orf159	5
DNAAF1	1
IYD	3
PAK1IP1	1
SIGLEC5	1
SHF	1
APBB1IP	1
NIN	4
PIK3AP1	1
TSPAN2	1
TMEM132E	1
CCL25	2
HDAC8	6
SYT1	3
SLC22A4	1
TIFA	1
RAB1A	2
TTC21B	1
WDR3	1
CSDC2	1
CDSN	1
ELP6	1
SLCO3A1	2
MRPL14	1
ADM5	1
CMAS	1
CWC22	1
DDX39A	1
TCEAL3	2
ADAM15	9
CFI	1
SULT1C4	1
SDHAF2	1
CD300LB	1
GNL3	3
TXNDC11	1
C17orf70	1
MMP21	1
AMER1	1
ZNF271	3
BAZ2A	1
MEF2D	2
EIF3K	1
TSSK4	2
CTNND2	1
AARS	1
DSCC1	1
LSMEM2	1
PCSK2	3
EIF1B	1
AQP4	2
GCLM	1
C10orf114	1
PCGF1	1
SNX5	2
SKAP1	2
FOXRED1	1
DNAJB11	1
LRTOMT	7
LRTOMT	1
TEFM	1
PTGES3L-AARSD1	6
TMCO3	1
CDH18	2
DPPA4	1
SERPINA9	2
ANGPTL5	1
PROSER1	1
NAT8L	1
PTPRJ	2
OSBPL6	5
C12orf65	3
NFKBIZ	2
SOGA3	2
SELV	1
SPACA5B	1
NASP	3
PLA2G5	1
MAST2	1
LRRIQ4	1
PTCHD1	1
NYAP1	1
AGPAT2	2
SLITRK2	8
MGME1	1
TNNI1	1
ADCY10	2
IKBKE	3
B4GALT3	3
EXOC4	2
RAB11A	2
TOMM40L	1
MPND	2
P2RX4	4
NDRG4	7
NEUROD2	1
RPS28	1
GAS2L1	3
UTP3	1
CARM1	1
SPRY4	2
ARPC4	5
ATG9A	2
SEPN1	2
TPRN	1
PTCD3	1
MAGT1	1
SNPH	1
LCN8	1
C20orf144	1
NAPEPLD	2
CATSPERG	1
CCDC141	1
AHSG	1
VKORC1	2
SNAP47	1
WDR18	1
NBPF3	3
FNTB	3
MIF4GD	4
THSD1	2
PHRF1	1
EML5	1
MS4A4A	3
NUMA1	1
EGR1	1
NTN5	1
C12orf74	2
MORF4L2	16
WNT9B	1
SPATA8	1
ULBP3	1
APOL5	1
LRRC3	1
TRPT1	6
GPR174	1
TRIM51	1
ZNF711	1
RP9	1
RIN3	1
NUMBL	1
SLC17A3	2
LZIC	1
SMARCA4	7
RDH13	2
KIF5B	1
STOML3	2
GPC1	1
TMEM211	1
HIP1	2
TNKS2	1
CASP9	2
TMEM59L	1
KIAA0355	1
CORO1C	3
CHRNB1	1
FRMD4A	1
PARPBP	1
JSRP1	1
C16orf54	1
ACAD10	2
UROC1	2
TMTC3	1
PPAT	1
PDS5A	2
DCAF4	5
SPINK5	3
DAND5	1
IGSF8	2
SLC22A25	1
PPT2	3
LRRC25	1
TLE2	3
PXDN	1
BTBD10	1
ASPH	12
OPTN	4
FBLN5	1
PRSS27	1
FTHL17	1
TEX13B	1
TDRD1	1
USP26	1
PLA2G12B	1
WWC2	2
SPOPL	1
GJB1	2
GPR156	2
FCN3	2
FXYD5	3
NDUFA7	1
RNF38	5
ALPPL2	1
MIEN1	1
TRMT112	1
BBS2	1
PSMA2	1
TNFSF11	2
MRPL13	1
PRKCH	1
SLC4A10	3
C12orf71	1
CR1	2
LCE2A	1
SMC1B	1
LOC388813	1
SPINK6	2
CKM	1
BEX1	1
SPANXA1	1
DMRTA2	1
GJA10	1
TLE6	2
GPR128	1
ZSCAN10	1
GNS	1
RBPMS	4
REPS1	2
SNRPE	1
SLN	1
HVCN1	3
PACSIN3	3
VPS26B	1
PHYHIP	2
ACY1	5
UBL7	2
RIPPLY1	2
FAM175A	1
CYB5R1	1
PVRL1	3
PPP2R5E	1
GTPBP3	4
TIMD4	2
CBY1	2
TMEM169	4
KRT77	1
DPYD	2
GNAT3	1
COPS7B	1
TGS1	1
MAP1B	1
FPGS	2
ZFYVE1	2
KCTD3	1
LIMCH1	5
ANKRD28	3
SAMD11	1
C20orf197	1
TMEM207	1
SLC44A4	3
STAM	1
CHIC2	1
F13A1	1
TSEN2	5
DLAT	1
SEC14L2	3
C14orf39	1
ZFP42	1
ALS2CR11	4
PCGF6	2
